transaction_id,transaction_date,transaction_type,customer_id,customer_name,grain_type,operation,number_of_bags,bag_weight_kg,total_weight_kg,quality_grade,moisture_content
1342,2023-05-11,Warehouse Movement,405,Customer_405,Rice,IN,16,25,400,C,12.29
1343,2023-03-16,Warehouse Movement,1923,Customer_1923,Rice,OUT,86,50,4300,B,12.83
1344,2024-05-22,Warehouse Movement,1585,Customer_1585,Sorghum,OUT,13,25,325,B,13.04
1345,2023-04-13,Warehouse Movement,412,Customer_412,Millet,IN,19,50,950,C,10.93
1346,2024-08-25,Warehouse Movement,119,Customer_119,Barley,OUT,39,25,975,C,10.51
1347,2024-09-25,Warehouse Movement,84,Customer_84,Barley,OUT,30,25,750,B,12.92
1348,2024-11-12,Warehouse Movement,1116,Customer_1116,Millet,IN,63,25,1575,B,15.39
1349,2023-04-29,Warehouse Movement,1343,Customer_1343,Wheat,OUT,122,50,6100,C,12.24
1350,2023-09-13,Warehouse Movement,843,Customer_843,Rice,IN,136,25,3400,A,10.56
1351,2024-05-10,Warehouse Movement,1618,Customer_1618,Barley,IN,184,25,4600,C,10.53
1352,2024-11-30,Warehouse Movement,462,Customer_462,Wheat,OUT,81,25,2025,B,10.56
1353,2023-09-15,Warehouse Movement,1726,Customer_1726,Wheat,OUT,89,25,2225,B,14.7
1354,2023-04-20,Warehouse Movement,979,Customer_979,Millet,OUT,98,25,2450,A,14.69
1355,2024-01-25,Warehouse Movement,1378,Customer_1378,Maize,OUT,138,25,3450,A,11.42
1356,2024-09-12,Warehouse Movement,1111,Customer_1111,Sorghum,IN,16,25,400,B,11.41
1357,2024-10-28,Warehouse Movement,106,Customer_106,Millet,OUT,12,50,600,A,11.86
1358,2024-07-31,Warehouse Movement,680,Customer_680,Sorghum,IN,33,25,825,C,15.0
1359,2023-07-30,Warehouse Movement,383,Customer_383,Rice,OUT,65,25,1625,B,14.01
1360,2023-06-26,Warehouse Movement,93,Customer_93,Wheat,IN,48,50,2400,B,14.48
1361,2024-09-20,Warehouse Movement,1635,Customer_1635,Barley,OUT,84,50,4200,A,14.07
1362,2024-09-16,Warehouse Movement,1422,Customer_1422,Barley,OUT,146,50,7300,B,15.41
1363,2024-11-26,Warehouse Movement,1260,Customer_1260,Millet,OUT,151,50,7550,C,12.92
1364,2024-08-13,Warehouse Movement,1295,Customer_1295,Sorghum,OUT,13,50,650,B,15.32
1365,2023-02-24,Warehouse Movement,269,Customer_269,Millet,OUT,54,25,1350,B,15.96
1366,2024-10-09,Warehouse Movement,230,Customer_230,Millet,OUT,39,25,975,B,14.95
1367,2023-09-21,Warehouse Movement,485,Customer_485,Rice,IN,188,25,4700,C,11.09
1368,2023-12-01,Warehouse Movement,961,Customer_961,Wheat,OUT,66,50,3300,A,15.98
1369,2024-10-17,Warehouse Movement,1846,Customer_1846,Wheat,IN,121,50,6050,A,10.15
1370,2024-09-08,Warehouse Movement,643,Customer_643,Rice,IN,17,50,850,A,16.02
1371,2023-06-06,Warehouse Movement,1545,Customer_1545,Sorghum,IN,100,50,5000,C,13.37
1372,2024-09-14,Warehouse Movement,259,Customer_259,Sorghum,IN,137,25,3425,B,11.27
1373,2024-01-18,Warehouse Movement,607,Customer_607,Sorghum,OUT,84,50,4200,B,15.12
1374,2024-11-03,Warehouse Movement,374,Customer_374,Sorghum,IN,101,50,5050,C,11.68
1375,2024-03-06,Warehouse Movement,1420,Customer_1420,Millet,OUT,199,25,4975,B,16.09
1376,2024-03-29,Warehouse Movement,1696,Customer_1696,Maize,IN,121,50,6050,B,12.78
1377,2024-07-09,Warehouse Movement,652,Customer_652,Sorghum,IN,111,25,2775,A,14.42
1378,2023-06-15,Warehouse Movement,181,Customer_181,Sorghum,OUT,57,25,1425,B,16.16
1379,2023-02-21,Warehouse Movement,775,Customer_775,Wheat,IN,92,25,2300,C,10.46
1380,2024-01-08,Warehouse Movement,858,Customer_858,Millet,IN,182,25,4550,A,14.81
1381,2023-05-19,Warehouse Movement,417,Customer_417,Rice,OUT,86,25,2150,B,12.23
1382,2023-10-30,Warehouse Movement,632,Customer_632,Sorghum,IN,78,50,3900,A,15.64
1383,2024-04-23,Warehouse Movement,814,Customer_814,Millet,IN,127,50,6350,C,10.49
1384,2024-12-01,Warehouse Movement,1502,Customer_1502,Barley,OUT,139,25,3475,A,13.82
1385,2024-07-29,Warehouse Movement,396,Customer_396,Millet,OUT,160,25,4000,B,14.07
1386,2023-11-05,Warehouse Movement,650,Customer_650,Maize,IN,68,25,1700,A,11.08
1387,2024-10-09,Warehouse Movement,430,Customer_430,Rice,OUT,162,25,4050,B,13.82
1388,2024-05-26,Warehouse Movement,1337,Customer_1337,Maize,OUT,193,50,9650,A,13.79
1389,2023-07-03,Warehouse Movement,1948,Customer_1948,Rice,IN,60,50,3000,B,13.31
1390,2023-12-22,Warehouse Movement,443,Customer_443,Millet,IN,102,25,2550,A,12.38
1391,2023-03-06,Warehouse Movement,1973,Customer_1973,Rice,OUT,12,25,300,C,13.56
1392,2024-01-11,Warehouse Movement,1909,Customer_1909,Sorghum,IN,61,25,1525,C,15.67
1393,2024-09-28,Warehouse Movement,1201,Customer_1201,Maize,IN,127,25,3175,A,10.5
1394,2023-03-25,Warehouse Movement,870,Customer_870,Millet,OUT,86,25,2150,B,13.76
1395,2023-12-09,Warehouse Movement,1339,Customer_1339,Sorghum,OUT,30,25,750,C,11.49
1396,2023-10-20,Warehouse Movement,87,Customer_87,Rice,OUT,74,50,3700,B,11.51
1397,2023-06-12,Warehouse Movement,1313,Customer_1313,Wheat,IN,186,25,4650,A,11.69
1398,2024-10-23,Warehouse Movement,29,Customer_29,Maize,OUT,147,25,3675,A,12.21
1399,2024-03-27,Warehouse Movement,172,Customer_172,Maize,OUT,167,25,4175,A,12.14
1400,2024-11-18,Warehouse Movement,366,Customer_366,Rice,IN,188,50,9400,C,10.37
1401,2024-01-23,Warehouse Movement,1684,Customer_1684,Wheat,IN,16,50,800,B,11.6
1402,2023-11-19,Warehouse Movement,1471,Customer_1471,Rice,IN,112,25,2800,C,10.27
1403,2024-04-18,Warehouse Movement,1344,Customer_1344,Millet,IN,102,25,2550,B,15.46
1404,2024-06-01,Warehouse Movement,549,Customer_549,Sorghum,IN,109,50,5450,C,12.19
1405,2024-03-29,Warehouse Movement,641,Customer_641,Wheat,IN,53,50,2650,B,13.38
1406,2023-07-04,Warehouse Movement,1852,Customer_1852,Wheat,OUT,45,25,1125,C,16.07
1407,2023-11-14,Warehouse Movement,436,Customer_436,Maize,OUT,199,25,4975,C,12.71
1408,2023-10-25,Warehouse Movement,1256,Customer_1256,Millet,IN,21,25,525,C,14.29
1409,2023-02-25,Warehouse Movement,1111,Customer_1111,Millet,IN,34,50,1700,B,13.8
1410,2023-06-26,Warehouse Movement,1914,Customer_1914,Rice,IN,195,50,9750,B,12.82
1411,2023-12-20,Warehouse Movement,1830,Customer_1830,Rice,IN,32,25,800,C,13.17
1412,2024-11-19,Warehouse Movement,1476,Customer_1476,Rice,OUT,29,25,725,C,16.16
1413,2023-02-24,Warehouse Movement,15,Customer_15,Maize,OUT,12,25,300,A,15.28
1414,2023-06-23,Warehouse Movement,1908,Customer_1908,Sorghum,IN,150,25,3750,A,10.8
1415,2024-10-18,Warehouse Movement,535,Customer_535,Wheat,IN,191,50,9550,C,15.36
1416,2024-06-09,Warehouse Movement,271,Customer_271,Sorghum,IN,193,50,9650,B,13.42
1417,2023-02-13,Warehouse Movement,1606,Customer_1606,Wheat,IN,102,25,2550,A,13.53
1418,2024-10-24,Warehouse Movement,610,Customer_610,Millet,OUT,128,50,6400,A,14.8
1419,2023-03-27,Warehouse Movement,1341,Customer_1341,Rice,OUT,99,50,4950,A,10.38
1420,2024-03-15,Warehouse Movement,1465,Customer_1465,Millet,IN,110,50,5500,C,12.87
1421,2024-04-01,Warehouse Movement,736,Customer_736,Maize,IN,43,50,2150,A,12.9
1422,2023-10-31,Warehouse Movement,1272,Customer_1272,Barley,IN,72,50,3600,B,10.36
1423,2023-10-01,Warehouse Movement,1957,Customer_1957,Rice,OUT,108,50,5400,C,13.62
1424,2023-10-13,Warehouse Movement,132,Customer_132,Sorghum,OUT,18,25,450,A,13.79
1425,2024-08-21,Warehouse Movement,26,Customer_26,Barley,IN,30,50,1500,C,14.3
1426,2023-09-01,Warehouse Movement,1000,Customer_1000,Barley,OUT,179,25,4475,B,10.1
1427,2023-03-11,Warehouse Movement,1996,Customer_1996,Millet,IN,23,25,575,C,13.77
1428,2023-09-13,Warehouse Movement,1135,Customer_1135,Barley,IN,81,25,2025,A,10.12
1429,2023-12-08,Warehouse Movement,97,Customer_97,Maize,OUT,126,25,3150,A,13.56
1430,2023-06-26,Warehouse Movement,1373,Customer_1373,Maize,IN,35,50,1750,A,10.99
1431,2023-12-16,Warehouse Movement,1333,Customer_1333,Millet,IN,64,25,1600,A,15.26
1432,2023-03-12,Warehouse Movement,883,Customer_883,Wheat,IN,139,50,6950,A,14.15
1433,2024-02-27,Warehouse Movement,1143,Customer_1143,Millet,OUT,145,25,3625,C,13.66
1434,2024-11-30,Warehouse Movement,370,Customer_370,Millet,OUT,191,50,9550,A,13.01
1435,2024-08-31,Warehouse Movement,484,Customer_484,Sorghum,OUT,58,25,1450,A,15.13
1436,2023-02-01,Warehouse Movement,809,Customer_809,Barley,OUT,70,50,3500,B,15.57
1437,2023-09-30,Warehouse Movement,1955,Customer_1955,Rice,IN,82,25,2050,A,12.94
1438,2023-03-27,Warehouse Movement,569,Customer_569,Wheat,OUT,22,50,1100,C,10.32
1439,2023-12-02,Warehouse Movement,678,Customer_678,Maize,OUT,123,25,3075,C,11.24
1440,2024-11-06,Warehouse Movement,1768,Customer_1768,Millet,IN,126,25,3150,A,15.54
1441,2023-04-26,Warehouse Movement,1224,Customer_1224,Wheat,OUT,174,25,4350,C,14.7
1442,2024-03-01,Warehouse Movement,1381,Customer_1381,Sorghum,OUT,59,25,1475,B,14.35
1443,2024-01-20,Warehouse Movement,1671,Customer_1671,Millet,IN,126,50,6300,C,13.1
1444,2024-03-21,Warehouse Movement,1697,Customer_1697,Wheat,IN,124,50,6200,B,14.15
1445,2023-04-23,Warehouse Movement,1522,Customer_1522,Rice,IN,56,25,1400,A,15.67
1446,2024-01-29,Warehouse Movement,677,Customer_677,Sorghum,IN,20,50,1000,B,15.56
1447,2023-05-22,Warehouse Movement,1754,Customer_1754,Rice,IN,109,25,2725,B,12.1
1448,2024-04-12,Warehouse Movement,1265,Customer_1265,Wheat,IN,17,25,425,A,10.32
1449,2024-07-25,Warehouse Movement,1515,Customer_1515,Sorghum,OUT,52,50,2600,A,15.72
1450,2023-09-22,Warehouse Movement,1573,Customer_1573,Barley,IN,141,50,7050,B,14.35
1451,2023-05-30,Warehouse Movement,1894,Customer_1894,Millet,OUT,190,25,4750,C,15.28
1452,2024-05-28,Warehouse Movement,1040,Customer_1040,Maize,IN,63,50,3150,B,11.73
1453,2023-12-30,Warehouse Movement,211,Customer_211,Maize,IN,72,50,3600,C,15.5
1454,2023-08-01,Warehouse Movement,332,Customer_332,Barley,OUT,132,25,3300,B,13.08
1455,2023-07-19,Warehouse Movement,1729,Customer_1729,Wheat,IN,176,50,8800,B,10.05
1456,2023-06-16,Warehouse Movement,1765,Customer_1765,Millet,OUT,63,25,1575,B,13.62
1457,2024-04-08,Warehouse Movement,303,Customer_303,Rice,IN,140,50,7000,A,14.62
1458,2023-07-19,Warehouse Movement,256,Customer_256,Rice,OUT,200,25,5000,B,14.2
1459,2024-04-20,Warehouse Movement,1513,Customer_1513,Sorghum,IN,14,25,350,C,11.36
1460,2024-07-30,Warehouse Movement,21,Customer_21,Barley,OUT,176,50,8800,B,13.34
1461,2023-01-31,Warehouse Movement,53,Customer_53,Maize,IN,54,50,2700,B,13.88
1462,2023-12-09,Warehouse Movement,1953,Customer_1953,Wheat,IN,93,25,2325,C,12.77
1463,2024-10-16,Warehouse Movement,337,Customer_337,Maize,OUT,75,50,3750,A,16.38
1464,2024-03-07,Warehouse Movement,297,Customer_297,Rice,IN,154,25,3850,B,12.91
1465,2023-05-10,Warehouse Movement,1136,Customer_1136,Sorghum,OUT,145,50,7250,C,14.24
1466,2024-09-23,Warehouse Movement,1168,Customer_1168,Sorghum,OUT,82,25,2050,B,12.25
1467,2023-04-04,Warehouse Movement,354,Customer_354,Wheat,IN,150,25,3750,A,12.43
1468,2024-06-01,Warehouse Movement,1405,Customer_1405,Sorghum,OUT,53,50,2650,A,15.4
1469,2024-04-14,Warehouse Movement,557,Customer_557,Wheat,IN,119,50,5950,A,14.86
1470,2024-01-19,Warehouse Movement,1890,Customer_1890,Sorghum,OUT,74,50,3700,C,11.67
1471,2024-03-11,Warehouse Movement,1880,Customer_1880,Millet,OUT,173,25,4325,B,15.51
1472,2024-07-02,Warehouse Movement,856,Customer_856,Sorghum,IN,200,50,10000,B,13.69
1473,2023-03-26,Warehouse Movement,797,Customer_797,Rice,IN,180,50,9000,C,16.07
1474,2024-08-04,Warehouse Movement,43,Customer_43,Barley,OUT,63,25,1575,A,10.63
1475,2024-09-20,Warehouse Movement,591,Customer_591,Sorghum,OUT,48,50,2400,C,14.6
1476,2023-07-09,Warehouse Movement,1357,Customer_1357,Sorghum,IN,170,25,4250,C,16.49
1477,2024-02-17,Warehouse Movement,1961,Customer_1961,Sorghum,OUT,108,50,5400,C,13.03
1478,2023-05-13,Warehouse Movement,114,Customer_114,Sorghum,IN,130,25,3250,B,10.54
1479,2024-06-02,Warehouse Movement,1042,Customer_1042,Wheat,OUT,160,50,8000,A,10.42
1480,2024-07-08,Warehouse Movement,1915,Customer_1915,Maize,IN,141,50,7050,A,15.42
1481,2023-09-13,Warehouse Movement,625,Customer_625,Millet,OUT,180,50,9000,C,10.22
1482,2024-10-25,Warehouse Movement,1898,Customer_1898,Rice,IN,12,25,300,A,15.98
1483,2024-07-29,Warehouse Movement,665,Customer_665,Millet,OUT,44,50,2200,B,11.61
1484,2023-01-14,Warehouse Movement,886,Customer_886,Wheat,IN,135,50,6750,A,12.9
1485,2024-01-24,Warehouse Movement,1346,Customer_1346,Wheat,OUT,37,25,925,A,11.75
1486,2024-11-24,Warehouse Movement,932,Customer_932,Wheat,IN,35,50,1750,C,12.17
1487,2024-03-06,Warehouse Movement,1134,Customer_1134,Wheat,IN,126,50,6300,A,10.3
1488,2023-08-24,Warehouse Movement,281,Customer_281,Sorghum,OUT,113,25,2825,C,15.94
1489,2024-03-31,Warehouse Movement,1725,Customer_1725,Wheat,IN,196,25,4900,C,16.32
1490,2023-11-03,Warehouse Movement,164,Customer_164,Sorghum,IN,153,50,7650,B,14.07
1491,2023-02-28,Warehouse Movement,796,Customer_796,Sorghum,OUT,98,25,2450,B,14.69
1492,2024-05-14,Warehouse Movement,198,Customer_198,Millet,IN,92,25,2300,A,12.42
1493,2023-10-14,Warehouse Movement,1743,Customer_1743,Sorghum,IN,101,50,5050,B,11.75
1494,2024-07-26,Warehouse Movement,1308,Customer_1308,Wheat,OUT,148,25,3700,B,12.32
1495,2023-08-10,Warehouse Movement,690,Customer_690,Wheat,IN,193,50,9650,C,12.94
1496,2024-07-30,Warehouse Movement,702,Customer_702,Barley,IN,187,50,9350,B,10.96
1497,2023-02-09,Warehouse Movement,673,Customer_673,Wheat,IN,137,50,6850,C,12.33
1498,2023-05-25,Warehouse Movement,655,Customer_655,Maize,IN,163,25,4075,A,11.06
1499,2024-04-06,Warehouse Movement,613,Customer_613,Maize,OUT,140,25,3500,A,15.78
1500,2024-11-26,Warehouse Movement,303,Customer_303,Wheat,OUT,59,50,2950,A,15.6
1501,2024-08-16,Warehouse Movement,707,Customer_707,Barley,OUT,80,50,4000,C,14.17
1502,2023-01-19,Warehouse Movement,955,Customer_955,Sorghum,IN,103,50,5150,C,12.52
1503,2023-06-30,Warehouse Movement,1433,Customer_1433,Sorghum,OUT,90,25,2250,B,10.08
1504,2023-08-09,Warehouse Movement,1716,Customer_1716,Wheat,IN,58,50,2900,A,14.2
1505,2023-10-28,Warehouse Movement,1691,Customer_1691,Wheat,IN,103,25,2575,A,15.73
1506,2024-09-23,Warehouse Movement,1284,Customer_1284,Millet,IN,143,50,7150,A,13.08
1507,2023-02-28,Warehouse Movement,476,Customer_476,Barley,OUT,92,25,2300,B,15.79
1508,2024-05-16,Warehouse Movement,1188,Customer_1188,Rice,OUT,166,50,8300,A,12.73
1509,2023-04-19,Warehouse Movement,947,Customer_947,Millet,IN,116,25,2900,B,15.67
1510,2024-11-19,Warehouse Movement,1689,Customer_1689,Millet,OUT,195,25,4875,B,11.94
1511,2024-05-05,Warehouse Movement,117,Customer_117,Maize,IN,40,50,2000,C,13.26
1512,2023-11-24,Warehouse Movement,1479,Customer_1479,Millet,OUT,26,50,1300,B,14.71
1513,2024-11-15,Warehouse Movement,926,Customer_926,Millet,IN,100,25,2500,B,10.87
1514,2023-02-11,Warehouse Movement,1945,Customer_1945,Wheat,OUT,48,25,1200,B,12.03
1515,2024-06-23,Warehouse Movement,539,Customer_539,Rice,IN,95,25,2375,C,13.23
1516,2024-04-22,Warehouse Movement,577,Customer_577,Wheat,IN,28,25,700,C,13.68
1517,2024-03-24,Warehouse Movement,133,Customer_133,Maize,IN,181,25,4525,A,10.93
1518,2024-02-10,Warehouse Movement,906,Customer_906,Millet,IN,179,25,4475,B,14.13
1519,2023-09-05,Warehouse Movement,1880,Customer_1880,Maize,OUT,120,25,3000,C,13.47
1520,2023-06-18,Warehouse Movement,627,Customer_627,Maize,OUT,15,25,375,A,16.38
1521,2024-11-20,Warehouse Movement,1285,Customer_1285,Sorghum,OUT,101,50,5050,A,15.11
1522,2024-08-29,Warehouse Movement,100,Customer_100,Millet,OUT,120,50,6000,C,11.79
1523,2024-04-02,Warehouse Movement,1694,Customer_1694,Sorghum,IN,158,50,7900,B,13.08
1524,2024-03-16,Warehouse Movement,1144,Customer_1144,Barley,OUT,77,50,3850,B,12.07
1525,2023-02-24,Warehouse Movement,1876,Customer_1876,Sorghum,IN,179,50,8950,A,11.05
1526,2024-02-14,Warehouse Movement,1690,Customer_1690,Sorghum,OUT,29,25,725,B,16.26
1527,2023-11-13,Warehouse Movement,146,Customer_146,Millet,IN,50,50,2500,C,15.36
1528,2023-07-17,Warehouse Movement,532,Customer_532,Maize,OUT,197,25,4925,A,13.43
1529,2023-04-12,Warehouse Movement,1257,Customer_1257,Maize,OUT,18,50,900,A,14.55
1530,2023-09-19,Warehouse Movement,1763,Customer_1763,Wheat,OUT,121,25,3025,B,13.08
1531,2023-11-18,Warehouse Movement,188,Customer_188,Wheat,IN,168,50,8400,C,13.47
1532,2023-07-04,Warehouse Movement,748,Customer_748,Barley,IN,128,25,3200,C,12.33
1533,2024-10-31,Warehouse Movement,376,Customer_376,Sorghum,OUT,113,50,5650,C,12.35
1534,2023-10-31,Warehouse Movement,704,Customer_704,Rice,OUT,65,50,3250,C,11.21
1535,2023-01-15,Warehouse Movement,665,Customer_665,Millet,OUT,110,50,5500,C,11.87
1536,2023-05-16,Warehouse Movement,723,Customer_723,Millet,IN,16,50,800,A,11.92
1537,2023-01-27,Warehouse Movement,1759,Customer_1759,Wheat,IN,13,25,325,A,14.61
1538,2024-01-02,Warehouse Movement,363,Customer_363,Maize,OUT,73,25,1825,C,11.85
1539,2023-08-06,Warehouse Movement,1987,Customer_1987,Barley,OUT,13,50,650,A,13.6
1540,2024-01-13,Warehouse Movement,286,Customer_286,Sorghum,OUT,47,50,2350,C,10.4
1541,2024-08-06,Warehouse Movement,64,Customer_64,Barley,IN,11,50,550,B,13.94
1542,2023-09-29,Warehouse Movement,1571,Customer_1571,Sorghum,IN,106,25,2650,A,12.21
1543,2024-11-02,Warehouse Movement,1216,Customer_1216,Rice,IN,137,50,6850,B,14.85
1544,2023-07-30,Warehouse Movement,1176,Customer_1176,Wheat,IN,15,50,750,B,12.1
1545,2024-09-05,Warehouse Movement,1241,Customer_1241,Millet,IN,110,25,2750,C,10.8
1546,2023-06-24,Warehouse Movement,1655,Customer_1655,Rice,OUT,18,25,450,A,13.59
1547,2023-04-06,Warehouse Movement,1677,Customer_1677,Rice,IN,80,50,4000,A,12.9
1548,2023-08-11,Warehouse Movement,493,Customer_493,Millet,OUT,187,50,9350,A,12.38
1549,2024-10-10,Warehouse Movement,326,Customer_326,Sorghum,IN,158,50,7900,A,12.97
1550,2024-08-14,Warehouse Movement,1046,Customer_1046,Sorghum,OUT,39,25,975,C,10.97
1551,2023-07-04,Warehouse Movement,1074,Customer_1074,Millet,IN,85,50,4250,C,13.73
1552,2023-06-04,Warehouse Movement,1611,Customer_1611,Wheat,OUT,19,50,950,B,14.66
1553,2023-06-15,Warehouse Movement,657,Customer_657,Sorghum,OUT,39,25,975,B,10.78
1554,2024-07-05,Warehouse Movement,291,Customer_291,Wheat,OUT,32,25,800,A,15.48
1555,2023-01-14,Warehouse Movement,634,Customer_634,Millet,OUT,50,25,1250,B,14.37
1556,2023-02-19,Warehouse Movement,327,Customer_327,Rice,OUT,183,25,4575,C,13.74
1557,2023-12-18,Warehouse Movement,134,Customer_134,Maize,IN,49,50,2450,A,14.59
1558,2023-08-25,Warehouse Movement,629,Customer_629,Sorghum,OUT,76,25,1900,C,14.91
1559,2024-10-20,Warehouse Movement,214,Customer_214,Millet,OUT,55,25,1375,A,11.09
1560,2024-07-13,Warehouse Movement,1163,Customer_1163,Millet,OUT,43,50,2150,C,10.81
1561,2023-11-23,Warehouse Movement,833,Customer_833,Millet,IN,120,25,3000,A,11.28
1562,2024-10-30,Warehouse Movement,1504,Customer_1504,Sorghum,OUT,90,25,2250,A,11.91
1563,2023-07-06,Warehouse Movement,1127,Customer_1127,Barley,IN,183,50,9150,A,13.26
1564,2024-08-05,Warehouse Movement,580,Customer_580,Millet,OUT,59,50,2950,C,12.43
1565,2024-07-22,Warehouse Movement,1735,Customer_1735,Millet,OUT,140,50,7000,A,14.06
1566,2023-06-29,Warehouse Movement,1822,Customer_1822,Wheat,OUT,187,50,9350,A,10.95
1567,2024-04-22,Warehouse Movement,1466,Customer_1466,Wheat,IN,32,25,800,A,14.27
1568,2023-05-13,Warehouse Movement,1824,Customer_1824,Wheat,OUT,134,25,3350,A,12.81
1569,2023-05-06,Warehouse Movement,212,Customer_212,Maize,IN,14,25,350,A,13.41
1570,2024-03-07,Warehouse Movement,1825,Customer_1825,Millet,IN,31,50,1550,C,14.65
1571,2024-01-09,Warehouse Movement,1257,Customer_1257,Barley,OUT,124,25,3100,A,14.26
1572,2023-04-12,Warehouse Movement,518,Customer_518,Maize,IN,139,25,3475,A,11.86
1573,2024-08-15,Warehouse Movement,1866,Customer_1866,Wheat,OUT,199,50,9950,A,13.15
1574,2023-02-27,Warehouse Movement,8,Customer_8,Millet,OUT,133,50,6650,C,12.32
1575,2023-12-04,Warehouse Movement,756,Customer_756,Rice,OUT,67,25,1675,B,13.09
1576,2023-10-23,Warehouse Movement,1209,Customer_1209,Maize,IN,149,25,3725,C,12.49
1577,2023-10-02,Warehouse Movement,1437,Customer_1437,Rice,OUT,176,50,8800,A,10.46
1578,2024-05-01,Warehouse Movement,115,Customer_115,Barley,OUT,87,25,2175,B,15.02
1579,2024-01-05,Warehouse Movement,531,Customer_531,Barley,IN,117,25,2925,C,15.26
1580,2023-04-06,Warehouse Movement,1562,Customer_1562,Maize,IN,44,50,2200,B,14.01
1581,2024-03-04,Warehouse Movement,1378,Customer_1378,Barley,OUT,45,50,2250,A,16.49
1582,2024-02-29,Warehouse Movement,1778,Customer_1778,Rice,IN,40,50,2000,C,15.29
1583,2023-06-01,Warehouse Movement,1430,Customer_1430,Maize,OUT,112,25,2800,B,12.41
1584,2024-02-22,Warehouse Movement,1265,Customer_1265,Wheat,OUT,95,25,2375,A,10.54
1585,2024-03-20,Warehouse Movement,1059,Customer_1059,Maize,OUT,97,25,2425,B,15.22
1586,2024-09-19,Warehouse Movement,1791,Customer_1791,Wheat,IN,13,50,650,A,14.7
1587,2024-02-19,Warehouse Movement,803,Customer_803,Millet,OUT,136,25,3400,C,15.8
1588,2023-05-12,Warehouse Movement,1546,Customer_1546,Maize,IN,49,50,2450,A,10.01
1589,2023-10-17,Warehouse Movement,403,Customer_403,Wheat,IN,190,50,9500,C,11.54
1590,2023-09-13,Warehouse Movement,405,Customer_405,Wheat,OUT,167,50,8350,B,11.69
1591,2024-10-23,Warehouse Movement,787,Customer_787,Sorghum,OUT,198,25,4950,A,12.33
1592,2023-04-19,Warehouse Movement,139,Customer_139,Millet,OUT,144,50,7200,C,10.58
1593,2023-02-05,Warehouse Movement,1380,Customer_1380,Millet,IN,71,25,1775,B,16.39
1594,2023-06-08,Warehouse Movement,996,Customer_996,Maize,IN,27,25,675,A,12.44
1595,2023-10-26,Warehouse Movement,712,Customer_712,Barley,IN,58,25,1450,B,12.55
1596,2023-12-26,Warehouse Movement,1877,Customer_1877,Wheat,OUT,196,25,4900,C,12.8
1597,2023-08-13,Warehouse Movement,476,Customer_476,Barley,OUT,19,25,475,C,13.16
1598,2023-09-25,Warehouse Movement,1029,Customer_1029,Sorghum,OUT,105,50,5250,C,12.9
1599,2024-04-09,Warehouse Movement,849,Customer_849,Rice,OUT,159,25,3975,B,15.01
1600,2024-02-21,Warehouse Movement,1241,Customer_1241,Millet,IN,32,50,1600,C,14.83
1601,2023-07-11,Warehouse Movement,1356,Customer_1356,Sorghum,OUT,197,25,4925,B,13.69
1602,2024-09-08,Warehouse Movement,1437,Customer_1437,Barley,OUT,181,50,9050,A,13.23
1603,2024-07-24,Warehouse Movement,1693,Customer_1693,Maize,OUT,106,50,5300,C,16.16
1604,2024-04-05,Warehouse Movement,1993,Customer_1993,Millet,IN,21,25,525,A,15.93
1605,2024-06-02,Warehouse Movement,219,Customer_219,Barley,OUT,186,50,9300,A,14.83
1606,2023-09-24,Warehouse Movement,1911,Customer_1911,Maize,IN,193,25,4825,C,10.19
1607,2024-10-25,Warehouse Movement,1793,Customer_1793,Barley,IN,73,25,1825,A,13.73
1608,2023-04-10,Warehouse Movement,1818,Customer_1818,Millet,OUT,103,50,5150,C,15.78
1609,2023-12-07,Warehouse Movement,2000,Customer_2000,Rice,OUT,67,50,3350,A,15.82
1610,2024-11-01,Warehouse Movement,67,Customer_67,Wheat,IN,113,50,5650,B,16.17
1611,2023-08-01,Warehouse Movement,626,Customer_626,Wheat,IN,148,25,3700,C,13.79
1612,2024-10-22,Warehouse Movement,1512,Customer_1512,Rice,OUT,132,50,6600,A,11.97
1613,2023-01-03,Warehouse Movement,431,Customer_431,Rice,IN,72,50,3600,C,14.1
1614,2023-03-25,Warehouse Movement,578,Customer_578,Millet,IN,72,50,3600,B,13.09
1615,2024-08-27,Warehouse Movement,1914,Customer_1914,Rice,OUT,73,25,1825,A,15.38
1616,2023-05-24,Warehouse Movement,1358,Customer_1358,Maize,IN,123,25,3075,C,16.38
1617,2024-08-15,Warehouse Movement,1439,Customer_1439,Maize,OUT,117,25,2925,B,13.49
1618,2023-07-30,Warehouse Movement,213,Customer_213,Rice,OUT,191,25,4775,A,11.41
1619,2024-01-28,Warehouse Movement,1932,Customer_1932,Wheat,IN,25,25,625,A,15.8
1620,2023-03-13,Warehouse Movement,1251,Customer_1251,Sorghum,OUT,177,50,8850,C,10.03
1621,2024-05-09,Warehouse Movement,1045,Customer_1045,Millet,IN,100,25,2500,A,12.16
1622,2024-03-02,Warehouse Movement,1955,Customer_1955,Wheat,OUT,158,50,7900,C,13.82
1623,2024-06-27,Warehouse Movement,1842,Customer_1842,Wheat,IN,114,25,2850,B,13.69
1624,2024-04-05,Warehouse Movement,1290,Customer_1290,Millet,OUT,92,50,4600,A,11.03
1625,2023-10-03,Warehouse Movement,181,Customer_181,Barley,IN,108,50,5400,A,12.09
